ACCELEROMETER X (m/s²) ,ACCELEROMETER Y (m/s²) ,ACCELEROMETER Z (m/s²) ,GRAVITY X (m/s²) ,GRAVITY Y (m/s²) ,GRAVITY Z (m/s²) ,LINEAR ACCELERATION X (m/s²) ,LINEAR ACCELERATION Y (m/s²) ,LINEAR ACCELERATION Z (m/s²) ,GYROSCOPE X (rad/s) ,GYROSCOPE Y (rad/s) ,GYROSCOPE Z (rad/s) ,Activity
-3.1134                ,2.0273                 ,7.8888                 ,-0.6225          ,2.5377           ,9.4521           ,-0.2026                      ,0.635                        ,2.2615                       ,0.1067              ,0.0046              ,-0.0145             ,       0
1.3289                 ,0.4651                 ,13.82                  ,0.3784           ,2.6433           ,9.4361           ,0.0441                       ,0.4884                       ,0.892                        ,0.2127              ,0.3958              ,-0.0418             ,       0
0.3628                 ,4.8631                 ,11.3853                ,-0.8986          ,3.4219           ,9.1462           ,0.361                        ,1.1111                       ,0.3233                       ,0.1778              ,0.144               ,0.1646              ,       0
-1.9259                ,4.005                  ,7.8972                 ,-0.1028          ,3.3305           ,9.2232           ,-1.7401                      ,-0.66                        ,-2.331                       ,-0.3624             ,-0.9357             ,-0.3079             ,       0
3.6296                 ,2.0237                 ,8.1604                 ,4.4718           ,1.0684           ,8.6621           ,-0.9285                      ,2.2032                       ,-3.6422                      ,-0.3902             ,0.1997              ,0.0411              ,       0
2.9713                 ,0.6006                 ,7.9989                 ,3.6069           ,0.1736           ,9.1176           ,-0.6792                      ,0.9295                       ,-2.5158                      ,0.3465              ,0.1025              ,0.6585              ,       0
3.0479                 ,0.5285                 ,7.6935                 ,3.1429           ,0.6236           ,9.2684           ,0.444                        ,-0.7556                      ,-0.7412                      ,0.4113              ,0.401               ,-0.4103             ,       0
1.2464                 ,1.1258                 ,8.9315                 ,1.6692           ,3.1127           ,9.1485           ,0.2569                       ,-0.5463                      ,0.1572                       ,0.6518              ,-0.3612             ,0.0855              ,       0
3.5363                 ,2.7814                 ,8.243                  ,2.7851           ,3.5752           ,8.6966           ,2.7942                       ,-0.3509                      ,0.3352                       ,-0.618              ,-0.08               ,-0.1127             ,       0
0.3736                 ,2.1817                 ,11.9372                ,2.1695           ,4.1056           ,8.6376           ,-0.3341                      ,0.7537                       ,1.236                        ,-0.2219             ,0.343               ,1.4318              ,       0
4.459                  ,6.7005                 ,7.8601                 ,3.5936           ,4.1111           ,8.1459           ,1.0425                       ,1.5651                       ,0.7682                       ,-0.3964             ,1.3611              ,0.8749              ,       0
-1.5105                ,5.8866                 ,11.2442                ,-0.0686          ,4.0366           ,8.9371           ,-0.6231                      ,1.143                        ,1.2279                       ,0.2133              ,0.5921              ,-0.0672             ,       0
