ACCELEROMETER X (m/s²) ,ACCELEROMETER Y (m/s²) ,ACCELEROMETER Z (m/s²) ,GRAVITY X (m/s²) ,GRAVITY Y (m/s²) ,GRAVITY Z (m/s²) ,LINEAR ACCELERATION X (m/s²) ,LINEAR ACCELERATION Y (m/s²) ,LINEAR ACCELERATION Z (m/s²) ,GYROSCOPE X (rad/s) ,GYROSCOPE Y (rad/s) ,GYROSCOPE Z (rad/s) ,Activity
0.8297                 ,3.7989                 ,8.2597                 ,1.4325           ,1.7372           ,9.5447           ,2.6317                       ,-0.2774                      ,1.4326                       ,-0.1613             ,-0.0881             ,-0.9867             ,       0
-0.3326                ,2.4176                 ,9.2761                 ,0.3695           ,2.3471           ,9.5145           ,-2.3                         ,-0.4014                      ,-2.7532                      ,0.3091              ,-0.4378             ,0.4195              ,       0
-4.3283                ,1.6836                 ,13.7806                ,0.3836           ,2.0182           ,9.5891           ,-2.0983                      ,-0.5648                      ,4.0098                       ,2.0715              ,0.0841              ,0.73                ,       0
1.0499                 ,2.2427                 ,11.7553                ,-0.1503          ,2.8072           ,9.3951           ,-1.1073                      ,0.1467                       ,-0.6936                      ,0.9734              ,-0.1839             ,0.536               ,       0
-0.2201                ,3.9365                 ,12.4759                ,1.0548           ,2.9521           ,9.2921           ,-0.9139                      ,1.7113                       ,-0.8257                      ,0.1495              ,-0.3409             ,0.1182              ,       0
1.9442                 ,3.6326                 ,14.7239                ,0.8751           ,3.5974           ,9.0809           ,-1.4763                      ,-0.4284                      ,0.7517                       ,0.1997              ,-0.5699             ,-0.1035             ,       0
-3.2007                ,4.4345                 ,10.2147                ,-0.4103          ,3.516            ,9.1455           ,-0.4624                      ,0.2951                       ,-1.4474                      ,0.4149              ,0.4749              ,0.0403              ,       0
-0.0419                ,4.6609                 ,7.7357                 ,-0.1264          ,4.6956           ,8.6085           ,-0.4989                      ,-1.0346                      ,-2.5769                      ,0.607               ,1.0826              ,0.6463              ,       0
0.9374                 ,4.3436                 ,7.1668                 ,-0.6047          ,4.4045           ,8.741            ,1.0207                       ,0.1195                       ,-2.6782                      ,0.0524              ,-0.1164             ,-0.447              ,       0
-0.0658                ,2.2439                 ,10.1333                ,-0.9034          ,2.7022           ,9.3836           ,-1.8879                      ,0.029                        ,2.0574                       ,-0.4997             ,-0.0394             ,0.2966              ,       0
0.0876                 ,1.4838                 ,10.7055                ,-0.9971          ,2.865            ,9.3257           ,-1.5933                      ,-0.6573                      ,1.3844                       ,-0.0808             ,-0.2395             ,0.1115              ,       0
0.9936                 ,1.9507                 ,7.459                  ,0.2653           ,3.4028           ,9.1935           ,0.3113                       ,-1.804                       ,4.6132                       ,1.1904              ,-0.6405             ,0.0327              ,       0
3.4693                 ,2.6761                 ,11.5995                ,0.907            ,4.5524           ,8.6385           ,-0.3865                      ,-0.707                       ,1.2023                       ,0.493               ,0.1245              ,0.0932              ,       0
0.0757                 ,3.3045                 ,13.4791                ,-0.1046          ,3.333            ,9.2223           ,0.4066                       ,1.8362                       ,2.5132                       ,0.3239              ,0.2895              ,-0.0586             ,       0
0.9111                 ,4.4859                 ,8.8693                 ,0.7458           ,4.3522           ,8.7563           ,-0.6679                      ,0.1766                       ,-1.0465                      ,-0.5327             ,-0.025              ,0.2981              ,       0
-0.6691                ,4.6478                 ,11.4823                ,1.6023           ,3.9852           ,8.816            ,1.0825                       ,0.492                        ,-4.1085                      ,-0.7022             ,-0.4959             ,-0.4749             ,       0
1.0594                 ,4.5485                 ,8.3761                 ,1.4962           ,3.7127           ,8.9525           ,-0.5828                      ,-1.0161                      ,-2.2784                      ,0.1228              ,-0.0993             ,0.1869              ,       0
1.5646                 ,4.8033                 ,9.4618                 ,1.2162           ,3.7584           ,8.9759           ,-0.3272                      ,0.1455                       ,-1.4963                      ,0.0515              ,0.0286              ,-0.0105             ,       0
1.3935                 ,4.1127                 ,9.5492                 ,1.5669           ,3.6066           ,8.9837           ,0.4706                       ,-0.9145                      ,-1.0573                      ,0.0531              ,0.0612              ,0.1406              ,       0
0.2922                 ,4.139                  ,8.2789                 ,0.8931           ,3.3341           ,9.1792           ,0.6342                       ,0.134                        ,-2.6348                      ,-0.2216             ,0.354               ,-0.2416             ,       0
0.7974                 ,2.6498                 ,7.3573                 ,0.5594           ,2.7539           ,9.3954           ,-0.881                       ,-0.0996                      ,-2.7072                      ,-0.0223             ,0.1614              ,0.2414              ,       0
0.5148                 ,2.8149                 ,6.0945                 ,-0.435           ,3.0411           ,9.3131           ,1.0499                       ,-0.5055                      ,1.5189                       ,-0.279              ,-0.3213             ,-0.2706             ,       0
-1.0328                ,3.1561                 ,6.53                   ,-1.1235          ,3.8083           ,8.9669           ,-0.9911                      ,-0.9802                      ,2.1124                       ,-0.0157             ,0.0947              ,0.3251              ,       0
-0.2177                ,2.9743                 ,7.8589                 ,-0.1977          ,4.4896           ,8.7163           ,1.6424                       ,-0.612                       ,2.9525                       ,-0.1061             ,0.1471              ,-0.2242             ,       0
-1.4399                ,6.4229                 ,8.1927                 ,-0.7607          ,4.8564           ,8.4857           ,0.1407                       ,0.8011                       ,-0.4451                      ,0.3366              ,-0.0577             ,0.0064              ,       0
-0.8569                ,5.5801                 ,8.7637                 ,-0.5834          ,4.5836           ,8.6499           ,-0.413                       ,0.2766                       ,0.9884                       ,0.0554              ,0.0828              ,-0.0695             ,       0
0.1092                 ,4.2179                 ,8.0049                 ,-0.1729          ,4.3434           ,8.7907           ,0.0142                       ,-0.3188                      ,-0.3653                      ,0.2033              ,0.141               ,0.2373              ,       0
-0.4941                ,5.6486                 ,4.2162                 ,-0.1124          ,4.3693           ,8.7788           ,-0.4942                      ,1.1709                       ,-3.0192                      ,-0.5169             ,0.1411              ,0.1248              ,       0
0.0649                 ,3.6266                 ,8.0468                 ,-0.5838          ,4.1989           ,8.843            ,1.5282                       ,-0.6848                      ,-1.0935                      ,0.4169              ,0.1727              ,-0.5342             ,       0
-0.7086                ,3.6099                 ,7.9068                 ,-0.8441          ,4.6657           ,8.5842           ,0.0812                       ,-1.3281                      ,0.5547                       ,0.1978              ,0.2225              ,0.1197              ,       0
-0.7074                ,3.5584                 ,7.3669                 ,-0.7123          ,4.7001           ,8.5774           ,0.6252                       ,0.8926                       ,0.7819                       ,-0.2584             ,0.1929              ,-0.2578             ,       0
-3.4092                ,3.4448                 ,10.6229                ,-1.4266          ,4.7248           ,8.4742           ,-0.932                       ,2.2161                       ,0.6146                       ,-0.8503             ,0.1978              ,-0.0467             ,       0
-2.4861                ,6.2495                 ,6.1496                 ,-1.1135          ,3.7308           ,9.0006           ,-0.0799                      ,2.3481                       ,1.5301                       ,-1.8006             ,-0.1338             ,-0.3442             ,       0
-2.0312                ,6.2183                 ,10.7198                ,-0.4001          ,4.7796           ,8.5537           ,-1.4944                      ,1.1058                       ,1.7051                       ,0.135               ,-0.3083             ,0.3387              ,       0
